Station number,Station name,Address,City,Province,Latitude,Longitude,Local land use,Station type,Concentration,Units,Station details,Report year
101603,Squamish Elementary,38370 Buckley Avenue,Squamish,British Columbia,49.70516,-123.15133,Commercial,General population exposure,25,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02101603&GoCTemplateCulture=en-CA
",2016
101701,Quesnel Senior Secondary,585 Callanan Street,Quesnel,British Columbia,52.98219999999999,-122.49199999999999,Residential,General population exposure,25,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02101701&GoCTemplateCulture=en-CA
",2016
102001,Saturna,Saturna,Saturna,British Columbia,48.78333333333333,-123.13333333333333,Forested,Regional background,34,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102001&GoCTemplateCulture=en-CA
",2016
102102,Labieux Road - Govbldg,2080a Labieux Road,Nanaimo,British Columbia,49.20083,-123.99389,Parks,General population exposure,27,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102102&GoCTemplateCulture=en-CA
",2016
102201,Butler Park,1875 Columbia Ave.,Trail,British Columbia,49.096218,-117.697828,Residential,Point source influenced,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102201&GoCTemplateCulture=en-CA
",2016
102401,Smithers St Josephs,4020 Broadway Avenue,Smithers,British Columbia,54.783308,-127.177324,Residential,General population exposure,24,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102401&GoCTemplateCulture=en-CA
",2016
102503,Terrace Skeena Middle School,3411 Munroe Street,Terrace,British Columbia,54.52167,-128.6075,Residential,General population exposure,26,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102503&GoCTemplateCulture=en-CA
",2016
102701,Williams Lake Columneetza School,1045 Western Avenue,Williams Lake,British Columbia,52.14428,-122.150391,Residential,General population exposure,28,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102701&GoCTemplateCulture=en-CA
",2016
102801,Elk Falls Dogwood,Adjacent to 660 Westmere,Campbell River,British Columbia,50.018425,-125.24844,Residential,General population exposure,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02102801&GoCTemplateCulture=en-CA
",2016
103302,Nelson Kutenai Place,333 Victoria Street,Nelson,British Columbia,49.49055,-117.295381,Residential,General population exposure,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02103302&GoCTemplateCulture=en-CA
",2016
103502,Castlegar Zinio Place,801 9th Avenue,Castlegar,British Columbia,49.317698,-117.661527,Residential,Point source influenced,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02103502&GoCTemplateCulture=en-CA
",2016
103602,Mission,32964 9th Avenue,Mission,British Columbia,49.14149,-122.311078,Residential,General population exposure,30,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02103602&GoCTemplateCulture=en-CA
",2016
104003,Vernon Science Centre,2704 Highway 6,Vernon,British Columbia,50.260617,-119.270723,Residential,Transportation source influenced,27,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02104003&GoCTemplateCulture=en-CA
",2016
104803,Duncan Cairnsmore,490 Cairnsmore Street,Duncan,British Columbia,48.784854,-123.715846,Residential,General population exposure,28,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02104803&GoCTemplateCulture=en-CA
",2016
105001,Meadow Park,Meadow Park,Whistler,British Columbia,50.144285,-122.960402,Parks,General population exposure,29,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02105001&GoCTemplateCulture=en-CA
",2016
105504,Fort St John Learning Centre,10511 99 Avenue,Fort St. John,British Columbia,56.24473,-120.8561,Residential,General population exposure,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02105504&GoCTemplateCulture=en-CA
",2016
105604,Osoyoos Canada Customs,202 Hwy 97 South,Osoyoos,British Columbia,49.05584,-119.50792,Agricultural,Regional background,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02105604&GoCTemplateCulture=en-CA
",2016
106800,Ucluelet Amphitrite Point,Coast Guard Drive,Ucluelet,British Columbia,48.921799,-125.541209,Water,Regional background,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02106800&GoCTemplateCulture=en-CA
",2016
107100,Courtenay Elementary School,1540 Mcphee Avenue,Courtenay,British Columbia,49.682603,-124.996222,Residential,General population exposure,28,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=02107100&GoCTemplateCulture=en-CA
",2016
